sentence;fuel;machine;others;part;price;service
Ane pake Honda Jazz GK5 2014 (pertama diluncurkan). Mobilnya bagus dan bagus sesuai motto, asik buat di kendarain;neutral;neutral;positive;neutral;neutral;neutral
Kenapa sih Avanza jadi boros bensin gini? Baru diisi setengah jalan.;negative;neutral;neutral;neutral;neutral;neutral
Saran gue dan pengalaman gue, lebih baik beli mobil komersial L300 atau Canter. hemat dan keras kepala.;positive;positive;neutral;neutral;neutral;neutral
Dari segi harga, Pajero juga 30 juta lebih mahal dari Fortuner;neutral;neutral;neutral;neutral;positive;neutral
Menurut gue, Pajero itu enak;neutral;neutral;positive;neutral;neutral;neutral
Versi CH-R negara ini kagak pantes dari segi fitur dan kelengkapan;neutral;neutral;neutral;negative;neutral;neutral
LinaRadj cobain tukang tambal Daihatsu kapan-kapan, mereka pengen banget. Layanan yang lebih bagus.;neutral;neutral;neutral;neutral;neutral;positive
Mending kalo confero lebih murah dari formo.;neutral;neutral;neutral;neutral;negative;neutral
Kalo soal service, lebih baik pilih Grand Livina karena layanan purna jualnya gampang dan cepet;neutral;neutral;neutral;neutral;neutral;positive
Lampu depan Grand New Veloz juga dapet perubahan desain dan keliatan lebih agresif dan sedikit menonjol;neutral;neutral;neutral;positive;neutral;neutral
Motor Beat gue nemenin gue kemanapun gue pergi dan yang penting bahan bakarnya ramah lingkungan dan ramah kantong dan tarikannya bener-bener bagus.;positive;positive;neutral;neutral;neutral;neutral
Xenia tahun 2008 bolak-balik dari Jakarta ke Bandung, aki tetep aman.;neutral;neutral;neutral;positive;neutral;neutral
YamahaID Perawatan Motor Injeksi Yamaha Gampang dan Murah;neutral;neutral;neutral;neutral;neutral;positive
Buat kota, Xpander bagus karena modelnya kalem dan punya kesan mobil kota;neutral;neutral;neutral;positive;neutral;neutral
Pajak Brio lebih murah karena CKD dibanding Ignis atau Sirion yang CBU, pajaknya agak mahal dan onderdilnya agak susah atau lama buat klaim asuransi.;neutral;neutral;neutral;negative;negative;neutral
Toyota menang harganya kalo mau dijual nanti;neutral;neutral;neutral;neutral;positive;neutral
